Total,179,last hour,19,2023-12-12 15:37:19
Total,180,last hour,20,2023-12-12 15:37:26
Total,181,last hour,21,2023-12-12 15:37:51
Total,182,last hour,22,2023-12-12 15:37:59
Total,183,last hour,23,2023-12-12 15:38:06
Total,184,last hour,24,2023-12-12 15:38:15
Total,185,last hour,25,2023-12-12 15:38:49
Total,186,last hour,26,2023-12-12 15:38:57
Total,187,last hour,27,2023-12-12 15:39:05
Total,188,last hour,28,2023-12-12 15:39:13
Total,189,last hour,29,2023-12-12 15:52:05
Total,190,last hour,30,2023-12-12 15:52:13
Total,191,last hour,31,2023-12-12 15:52:20
Total,192,last hour,32,2023-12-12 15:52:28
Total,193,last hour,33,2023-12-12 15:54:47
Total,194,last hour,34,2023-12-12 15:54:55
Total,195,last hour,35,2023-12-12 15:55:02
Total,196,last hour,36,2023-12-12 15:55:10
Total,197,last hour,37,2023-12-12 15:56:54
Total,198,last hour,38,2023-12-12 15:57:04
Total,199,last hour,39,2023-12-12 15:57:12
Total,200,last hour,40,2023-12-12 15:57:20
Total,201,last hour,41,2023-12-12 15:58:28
Total,202,last hour,42,2023-12-12 15:58:36
Total,203,last hour,43,2023-12-12 15:58:44
Total,204,last hour,44,2023-12-12 15:58:52
Total,205,last hour,45,2023-12-12 16:00:25
Total,206,last hour,46,2023-12-12 16:00:33
Total,207,last hour,47,2023-12-12 16:00:43
Total,208,last hour,48,2023-12-12 16:00:51
Total,209,last hour,45,2023-12-12 16:08:20
Total,210,last hour,46,2023-12-12 16:08:29
Total,211,last hour,47,2023-12-12 16:08:36
Total,212,last hour,48,2023-12-12 16:08:44
Total,213,last hour,45,2023-12-12 16:10:37
Total,214,last hour,46,2023-12-12 16:11:29
Total,215,last hour,47,2023-12-12 16:11:38
Total,216,last hour,48,2023-12-12 16:11:47
Total,217,last hour,49,2023-12-12 16:11:55
Total,218,last hour,46,2023-12-12 16:25:45
Total,219,last hour,47,2023-12-12 16:25:56
Total,220,last hour,48,2023-12-12 16:26:04
Total,221,last hour,49,2023-12-12 16:26:13
Total,222,last hour,34,2023-12-12 16:43:53
Total,223,last hour,35,2023-12-12 16:44:00
Total,224,last hour,36,2023-12-12 16:44:08
Total,225,last hour,37,2023-12-12 16:44:15
Total,226,last hour,38,2023-12-12 16:45:17
Total,227,last hour,39,2023-12-12 16:45:24
Total,228,last hour,40,2023-12-12 16:45:31
Total,229,last hour,41,2023-12-12 16:45:38
Total,230,last hour,38,2023-12-12 16:52:39
Total,231,last hour,39,2023-12-12 16:52:45
Total,232,last hour,40,2023-12-12 16:52:50
Total,233,last hour,41,2023-12-12 16:52:55
